condition,item,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
word_list,1,Cette,le,mime,vestiges,indication,bijoux,de,romance,le,soi-même.,vestiges,circulation
word_list,2,Comédienne,aigle,les,le,parallèle,plus,de,oignons,et,virgule.,oignons,tôt
word_list,3,Gramophone,a,minute,gin,le,volatile,en,participé,l'intention,à.,gramophone,collègues
word_list,4,Révélation,rhum,l'armes,plus,a,pâté,d'épanouir,magiciens,sont,planète.,rhum,frères
word_list,5,Ce,le,une,éviter,et,dessinateurs,gèle,la,meule,la.,dessinateurs,enveloppe
word_list,6,Le,aux,et,la,les,s'enflamme,continue,se,excusée,cholestérol.,excusée,électromagnétique
word_list,7,Associée,tribut,le,licencieux,noire,fraise,s'adapte,la,l'idiot,Denis.,tribut,savoir-faire
word_list,8,Le,donc,type,s'élucider,trajectoire,au,expérience,foin,le,portant.,type,brillant
word_list,9,Le,gratitude,habitude,en,que,et,cette,la,que,comédie.,comédie,étendait
word_list,10,Aurélie,vocal,sculptures,lapin,talents,tout,dans,belge,quand,dormant.,belge,insectes
word_list,11,Blot,les,écoles,navet,tourné,que,les,s'aidées,la,plus.,tourné,maxima
word_list,12,Plusieurs,les,modèles,ramassent,le,sont,amuse,traînait,le,courroux.,traînait,chausson
