condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
word_list,1,401,word_list,Agacent,dictaient,du,tenta,harceler,carmin,halal,les,en,les.,carmin,lévitation
word_list,2,402,word_list,Mou,regrettant,la,son,en,confidente,s'effraye,poésie,dans,une.,confidente,abîment
word_list,3,403,word_list,En,scène,a,libéré,galon,adaptateur,lacunes,Pôle-emploi,le,un.,scène,attrape
word_list,4,404,word_list,Gitan,la,à,l'improviste,en,habitais,tracts,un,s'affichant,montrer.,tracts,violente
word_list,5,405,word_list,A,agirai,d'éternuer,selle,vapes,culturisme,une,en,presbyte,le.,presbyte,joyau
word_list,6,406,word_list,En,ectoplasme,installe,les,de,grognon,le,l'escabeau,mou,auberge.,grognon,axé
word_list,7,407,word_list,A,Édith,salues,Paul,avant,disant,observé,la,en,cela.,avant,gruyère
word_list,8,408,word_list,La,corde,tabous,sa,pour,critiquais,le,consultante,piété,puisses.,corde,votons
word_list,9,409,word_list,D'éliminer,disparus,voit,a,vive,gelé,cette,laine,le,enregistrera.,enregistrera,hétérogène
word_list,10,410,word_list,Quitterez,suivante,hypocrite,en,le,appliquais,cette,polars,les,de.,suivante,capsule
word_list,11,411,word_list,La,confondons,volions,fantassin,revue,sa,pannes,neural,pour,trou.,revue,aidé
word_list,12,412,word_list,A,saints,l'incendie,plairas,populations,allonge,en,galon,une,le.,l'incendie,ringards
word_list,13,413,word_list,Ce,a,gardaient,lues,en,serveurs,concluez,billion,vrai,la.,vrai,râpes
word_list,14,414,word_list,Le,de,discuter,soutenu,a,cerveau,en,Valérie,la,age.,age,sinistrée
word_list,15,415,word_list,La,le,les,phases,croque,travaux,statues,voudrai,dans,en.,phases,chargiez
word_list,16,416,word_list,Théâtres,en,hasardeuse,cette,polluent,bassins,l'atmosphère,adresse,plumes,les.,adresse,crasseux
word_list,17,417,word_list,Du,erre,l'odeur,le,en,analysent,ampli,tank,butoir,le.,l'odeur,lésé
word_list,18,418,word_list,Case,le,mortel,ce,convienne,l'informant,a,froussards,en,rigolotes.,l'informant,apéro
word_list,19,419,word_list,Fouetta,a,ma,tairais,rattacher,la,pour,ce,bureaucrates,manche.,rattacher,déduction
word_list,20,420,word_list,Chemisette,exploses,économise,en,cet,la,idiotisme,projetais,une,crieur.,économise,importées
word_list,21,421,word_list,Nouvelles,prive,de,grognon,serbe,ma,vive,en,serrais,le.,vive,bornés
word_list,22,422,word_list,Peuplades,les,festoie,aux,autopsie,des ,aliment,susceptibles,violes,acoustique.,susceptibles,chic
word_list,23,423,word_list,Un,l'avenir,un,extras,trembleur,optimiste,en,triompher,travaux,a.,travaux,régénérés
word_list,24,424,word_list,Lires,dosages,a,d'un,amener,cerveau,le,en,le,planète.,cerveau,agités
word_list,25,425,word_list,Le,le,s'engage,la,abonde,et,gaze,arbitre,dans,fluides.,arbitre,séparés
