condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
simple_sentence,1,1,cVP,Les,marins,s'agacent,en,entendant,les,mouettes,faire,du,bruit.,mouettes,complotiste
simple_sentence,2,2,cVP,Le,maire,a,appelé,un,jeune,chômeur,en,contactant,Pôle-emploi.,chômeur,taquin
simple_sentence,3,3,cVP,La,photo,évoque,un,mauvais,souvenir,en,s'affichant,à,l’improviste.,évoque,évitent
simple_sentence,4,4,cVP,Le,joueur,a,sorti,une,carte,dissimulée,en,feignant,d'éternuer.,carte,raide
simple_sentence,5,5,cVP,Les,clients,grimpent,l'escalier,de,l'hôtel,en,accélérant,le,pas.,accélérant,fond
simple_sentence,6,6,cVP,Marie,a,déjà,informé,Jean,en,disant,toute,la,vérité.,Marie,juste
simple_sentence,7,7,cVP,Le,facteur,admire,la,boulangère,juste,pour,sa,bonté,proverbiale.,bonté,scout
simple_sentence,8,8,cVP,Le,professeur,regrette,les,étudiants,de,cette,classe,en,soupirant.,classe,constamment
simple_sentence,9,9,cVP,La,petite,fille,blonde,court,pour,rejoindre,sa,vieille,grand-mère.,blonde,foule
simple_sentence,10,10,cVP,Le,pompier,a,abrité,une,jeune,adolescente,en,bravant,l'incendie.,jeune,instable
simple_sentence,11,11,cVP,La,chanteuse,a,vraiment,raté,ce,concert,en,chantant,faux.,vraiment,Marc
simple_sentence,12,12,cVP,Les,chatons,abîment,le,rideau,en,jouant,dans,le,salon.,rideau,menti
simple_sentence,13,13,cVP,Cette,nouvelle,réforme,alourdit,l'atmosphère,sociale,en,augmentant,les,impôts.,sociale,montagne
simple_sentence,14,14,cVP,Le,chien,attend,le,rôti,en,reniflant,l'odeur,du,four.,reniflant,courtier
simple_sentence,15,15,cVP,La,société,a,engagé,ce,transporteur,pour,traverser,la,Manche.,traverser,chirurgien
simple_sentence,16,16,cVP,Cet,accord,pérennise,une,injustice,en,pénalisant,gravement,la,mobilité.,gravement,orateur
simple_sentence,17,17,cVP,Le,froid,atténue,ma,douleur,en,pénétrant,tout,de,suite.,douleur,maîtresse
simple_sentence,18,18,cVP,Le,romancier,contemporain,publie,en,inventant,des,intrigues,totalement,improbables.,romancier,évidemment
simple_sentence,19,19,cVP,Un,voyant,a,annoncé,un,événement,grandiose,en,prédisant,l'avenir.,grandiose,lampe
simple_sentence,20,20,cVP,Le,patient,a,salué,le,médecin,d'un,regard,en,passant.,salué,vides
simple_sentence,21,21,adj,Le,scooter,double,dès,que,la,moto,s'engage,dans,l’allée.,moto,proviseur
simple_sentence,22,22,adj,Depuis,que,les,économies,nationales,ralentissent,le,problème,bancaire,empire.,économies,lait
simple_sentence,23,23,adj,Les,filles,très,actives,s'amusent,pendant,que,les,garçons,dorment.,actives,avare
simple_sentence,24,24,adj,Une,voiture,pressée,dépasse,pendant ,que,le,camion,éclabousse,partout.,partout,intellectuel
simple_sentence,25,25,adj,Les,draps,propres,sèchent,pendant,que,les,nappes,sales,s'entassent.,sèchent,écoule
simple_sentence,26,26,adj,Les,bars,branchés,prospèrent,depuis,que,les,restaurants,ont,fermé.,prospèrent,mécanisme
simple_sentence,27,27,adj,Au,musée,les,parents,râlent,car,leurs,enfants,fatigués,traînent.,râlent,effiloché
simple_sentence,28,28,adj,Le,concierge,s'irrite,dès,que,le,locataire,joue,du,violon.,joue,tasse
simple_sentence,29,29,adj,Le,sportif,russe,s'entraîne,assidûment,alors,que,son,adversaire,flâne.,russe,couleur
simple_sentence,30,30,adj,Les,dirigeants,dépriment,lorsque,les,ouvriers,les,plus,compétents,partent.,compétents,volontaire
simple_sentence,31,31,adj,Le,dessert,au,chocolat,arrive,pendant,que,le,café,refroidit.,chocolat,faille
simple_sentence,32,32,adj,Les,vents,dominants,changent,dès,que,la,saison,froide,arrive.,vents,chasseur
simple_sentence,33,33,adj,Le,spectateur,s'émerveille,dès,que,la,belle,chante,son,amour.,spectateur,camionnette
simple_sentence,34,34,adj,L'île,révèle,des,paysages,incroyables,dès,que,le,soleil,resplendit.,révèle,affable
simple_sentence,35,35,adj,L'été,pendant,que,la,rivière,s'assèche,le,réservoir,se,remplit.,rivière,heureux
simple_sentence,36,36,adj,Aussitôt,que,les,branches,trop,sèches,craquent,les,arbres,tombent.,sèches,survit
simple_sentence,37,37,adj,Le,vieux,moine,s'assoupit,quand,la,chorale,arrête,de,chanter.,moine,déteint
simple_sentence,38,38,adj,Une,voiture,est,arrivée,quand,un,chamois,traversait,la,route.,chamois,parle
simple_sentence,39,39,adj,Le,garçon,obéit,lentement,pendant,que,le,maître,d'école,s'impatiente.,obéit,coriace
simple_sentence,40,40,adj,Le,violoniste,soucieux,s'apaise,dès,que,sa,tendinite,se,soigne.,soucieux,prier
simple_sentence,41,41,coord,Le,remorqueur,tire,lentement,et,le,paquebot,rentre,au,port.,rentre,ordonne
simple_sentence,42,42,coord,Le,voleur,blessé,est,affaibli,et,son,complice,déloyal,fuit.,voleur,klaxonne
simple_sentence,43,43,coord,Le,maçon,termine,le,mur,et,l’apprenti,observe,très,sérieusement.,mur,rédacteur
simple_sentence,44,44,coord,Le,comédien,était,excellent,et,le,public,a,applaudit,longuement.,applaudit,gendarme
simple_sentence,45,45,coord,Ce,chien,est,peureux,et,les,chats,sauvages,règnent,ici.,sauvages,affleure
simple_sentence,46,46,coord,Ce,cycliste,méconnu,a,triomphé,aujourd'hui,et,le,journaliste,s'interroge.,cycliste,tactique
simple_sentence,47,47,coord,En,hiver,les,autoroutes,sont,dégagées,et,les,cantonales,ferment.,autoroutes,galope
simple_sentence,48,48,coord,Le,festival,débute,aujourd'hui,et,le,brillant,ténor,se,prépare.,brillant,forêt
simple_sentence,49,49,coord,Ce,vieux,manager,est,très,compétent,et,le,stagiaire,s'active.,stagiaire,complexe
simple_sentence,50,50,coord,Les,maisons,de,banlieue,s'écroulent,et,des,immeubles,modernes,apparaissent.,s'écroulent,amuser
simple_sentence,51,51,coord,Le,comptable,est,présumé,innocent,mais,le,juge,est,soupçonneux.,innocent,follement
simple_sentence,52,52,coord,Le,boxeur,adverse,se,déconcentre,et,le,champion,gagne,facilement.,champion,charmant
simple_sentence,53,53,coord,L'exposition,universelle,prône,une,vraie,démarche,écologique,et,l'UNESCO,apprécie.,vraie,lien
simple_sentence,54,54,coord,La,chanson,exprime,une,nostalgie,profonde,et,la,critique,adore.,profonde,vitrine
simple_sentence,55,55,coord,Les,relations,bilatérales,reprennent,lentement,et,la,politique,extérieure,change.,bilatérales,calmement
simple_sentence,56,56,coord,La,PDG,mène,la,relance,et,le,redressement,financier,échoue.,relance,caissière
simple_sentence,57,57,coord,Le,jeune,homme,bouscule,tout,et,la,vielle,dame,rouspète.,tout,comparable
simple_sentence,58,58,coord,Les,cigognes,migrent,et,les,Alsaciens,observent,toujours,le,ciel.,toujours,caméscope
simple_sentence,59,59,coord,Le,paysan,conduit,trop,lentement,et,le,gros,tracteur,cale.,gros,flottent
simple_sentence,60,60,coord,Le,serrurier,monte,mal,la,porte,et,le,propriétaire,s'étonne.,serrurier,moqueur
