condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
complex_sentence,1,1,ObjClef,Ce,sont,les,marins,que,les,mouettes,agacent,en,criant.,marins,installe
complex_sentence,2,2,ObjClef,C'est,un,chômeur,qu'un,maire,a,appelé,en,contactant,Pôle-emploi.,appelé,heurter
complex_sentence,3,3,ObjClef,C'est,le,souvenir,que,la,photo,a,évoqué,en,s'affichant.,souvenir,souvent
complex_sentence,4,4,ObjClef,C'est,une,carte,que,le,joueur,sort,en,feignant,d'éternuer.,feignant,perçant
complex_sentence,5,5,ObjClef,Ce,sont,ces,escaliers,que,les,clients,grimpent,en,accélérant.,clients,mou
complex_sentence,6,6,ObjClef,C'est,Jean,que,Marie,a,informé,en,disant,la,vérité.,informé,curieux
complex_sentence,7,7,ObjClef,C'est,la,boulangère,que,le,facteur,admire,pour,sa,bonté.,admire,initie
complex_sentence,8,8,ObjClef,C'est,cette,bonne,classe,que,le,professeur,regrette,en,soupirant.,professeur,athlète
complex_sentence,9,9,ObjClef,C'est,sa,grand-mère,que,la,petite,fille,blonde,court,rejoindre.,fille,joliment
complex_sentence,10,10,ObjClef,C'est,l'adolescente,que,le,pompier,a,abritée,en,bravant,l'incendie.,pompier,écrasante
complex_sentence,11,11,ObjClef,C'est,ce,concert,que,la,chanteuse,rata,en,chantant,faux.,concert,dort
complex_sentence,12,12,ObjClef,C'est,le,rideau,que,les,chatons,ont,abîmé,en,jouant.,abîmé,peu
complex_sentence,13,13,ObjClef,C'est,l'atmosphère,sociale,que,cette,réforme,alourdit,en,augmentant,l'impôt.,impôt,écroule
complex_sentence,14,14,ObjClef,C'est,le,rôti,que,le,chien,attend,en,reniflant,l'air.,rôti,beau
complex_sentence,15,15,ObjClef,C'est,ce,transporteur,que,la,société,engage,pour,traverser,l'Atlantique.,société,changeant
complex_sentence,16,16,ObjClef,C'est,cette,injustice,que,l'accord,pérennise,en,pénalisant,la,mobilité.,mobilité,crue
complex_sentence,17,17,ObjClef,C'est,cette,douleur,que,le,froid,atténue,aussitôt,en,pénétrant.,froid,endort
complex_sentence,18,18,ObjClef,Ce,sont,ces,intrigues,que,le,romancier,inventente,pour,publier.,intrigues,tunnel
complex_sentence,19,19,ObjClef,C'est,cet,événement,grandiose,qu'un,voyant,annonce,en,prédisant,l'avenir.,voyant,illumination
complex_sentence,20,20,ObjClef,C'est,le,médecin,que,le,patient,a,salué,en,passant.,médecin,déménage
complex_sentence,21,21,SubjRel,La,moto,qui,double,le,scooter,s'engage,rapidement,dans,l’allée.,rapidement,marché
complex_sentence,22,22,SubjRel,Les,économies,nationales,qui,ralentissent,empirent,le,problème,des,banques.,nationales,maudite
complex_sentence,23,23,SubjRel,Les,filles,très,actives,qui,embêtent,gentiment,les,garçons,s'amusent.,gentiment,lapin
complex_sentence,24,24,SubjRel,Le,camion,très,pressé,qui,éclabousse,la,voiture,accidentée,dépasse.,pressé,salière
complex_sentence,25,25,SubjRel,Les,nappes,sales,qui,sèchent,tout,près,des,draps,s'entassent.,près,marchandise
