condition,item,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
simple_sentence,1,Les,moustiques,résistent,aux,insecticides,et,les,maladies,tropicales,proliférent.,insecticides,touristes
simple_sentence,2,Cette,question,angoisse,beaucoup,l'Etat,grec,et,l'Union,Européenne,tranche.,grec,avocats
simple_sentence,3,Le,scénariste,s'explique,sur,le,tournage,et,le,réalisateur,écoute.,scénariste,malade
simple_sentence,4,Le,voyou,devient,menaçant,et,la,soeur,de,Jean,s'évanouit,menaçant,effondre
simple_sentence,5,La,poignée,a,accroché,le,sac,de,Valérie,en,passant.,accroché,spectacle
simple_sentence,6,La,cantatrice,s'effraye,en,découvrant,une,souris,dans,son,lit.,souris,ordinateur
simple_sentence,7,Le,chef,a,exigé,d'éliminer,cette,solution,originale,tout,seul.,solution,morale
simple_sentence,8,Le,président,a,longtemps,aidé,ce,politicien,véreux,en,l'informant.,longtemps,mendiant
simple_sentence,9,Le,moineau,chante,à,tue-tête,pendant,que,le,chat,somnole.,chante,révisent
simple_sentence,10,La,hyène,se,promène,au,crépuscule,quand,le,lion,dort.,crépuscule,abeilles
simple_sentence,11,Le,scooter,freine,aussitôt,que,le,vieux,vélo,rouge,s'arrête.,vieux,fonctionnaire
simple_sentence,12,Les,soldats,plus,courageux,avancent,tandis,que,les,officiers,désertent.,courageux,gardien
